timestamp,lat,lon,altitude,fix_quality,num_sats,hdop,speed,heading,satellite_id,elevation,azimuth,snr,producer_timestamp,signal_drop,satellite_loss,lat_diff,lon_diff,position_drift,anomaly_detected,anomaly_type
,,,,,,,,,1,,,0.25720000000000004,2025-12-03T09:48:14.122201Z,true,false,0.0,0.0,false,true,SIGNAL_DROP
,,,,,,,,,2,,,0.0636,2025-12-03T09:48:14.175002Z,true,false,0.0,0.0,false,true,SIGNAL_DROP
,,,,,,,,,2,,,0.11280000000000001,2025-12-03T09:48:14.227185Z,true,false,0.0,0.0,false,true,SIGNAL_DROP
,,,,,,,,,2,,,0.0935,2025-12-03T09:48:14.279191Z,true,false,0.0,0.0,false,true,SIGNAL_DROP
,,,,,,,,,3,,,-0.27840000000000004,2025-12-03T09:48:14.383016Z,true,false,0.0,0.0,false,true,SIGNAL_DROP
,,,,,,,,,3,,,-0.2817,2025-12-03T09:48:14.434036Z,true,false,0.0,0.0,false,true,SIGNAL_DROP
,,,,,,,,,4,,,0.21180000000000002,2025-12-03T09:48:14.485899Z,true,false,0.0,0.0,false,true,SIGNAL_DROP
,,,,,,,,,4,,,0.20400000000000001,2025-12-03T09:48:14.537884Z,true,false,0.0,0.0,false,true,SIGNAL_DROP
,,,,,,,,,4,,,0.20070000000000002,2025-12-03T09:48:14.589846Z,true,false,0.0,0.0,false,true,SIGNAL_DROP
,,,,,,,,,5,,,0.1855,2025-12-03T09:48:14.642175Z,true,false,0.0,0.0,false,true,SIGNAL_DROP
