timestamp,lat,lon,altitude,fix_quality,num_sats,hdop,speed,heading,satellite_id,elevation,azimuth,snr,producer_timestamp,signal_drop,satellite_loss,lat_diff,lon_diff,position_drift,anomaly_detected,anomaly_type
,,,,,,,,,10,,,0.14800000000000002,2025-12-03T09:49:05.105814Z,true,false,0.0,0.0,false,true,SIGNAL_DROP
,,,,,,,,,10,,,0.1736,2025-12-03T09:49:05.208907Z,true,false,0.0,0.0,false,true,SIGNAL_DROP
,,,,,,,,,1,,,-0.3295,2025-12-03T09:49:05.263016Z,true,false,0.0,0.0,false,true,SIGNAL_DROP
,,,,,,,,,1,,,-0.3295,2025-12-03T09:49:05.314929Z,true,false,0.0,0.0,false,true,SIGNAL_DROP
,,,,,,,,,1,,,-0.33240000000000003,2025-12-03T09:49:05.417398Z,true,false,0.0,0.0,false,true,SIGNAL_DROP
,,,,,,,,,1,,,-0.3277,2025-12-03T09:49:05.469297Z,true,false,0.0,0.0,false,true,SIGNAL_DROP
,,,,,,,,,1,,,-0.33390000000000003,2025-12-03T09:49:05.521104Z,true,false,0.0,0.0,false,true,SIGNAL_DROP
,,,,,,,,,2,,,0.43770000000000003,2025-12-03T09:49:05.572914Z,true,false,0.0,0.0,false,true,SIGNAL_DROP
,,,,,,,,,2,,,0.43770000000000003,2025-12-03T09:49:05.624835Z,true,false,0.0,0.0,false,true,SIGNAL_DROP
,,,,,,,,,2,,,0.4354,2025-12-03T09:49:05.676536Z,true,false,0.0,0.0,false,true,SIGNAL_DROP
,,,,,,,,,3,,,0.1461,2025-12-03T09:49:05.728384Z,true,false,0.0,0.0,false,true,SIGNAL_DROP
